FLDNAME,BIOMARKER,HM,HS,LM,LS,REQUIRE_NORMALIZE
CTX_LH_INFERIORPARIETAL_SUVR,Left-inferiorparietal,Abeta-inferiorparietal,Abeta-Left-inferiorparietal,Abeta-Parietal,Abeta-Left-Parietal,1
CTX_LH_INFERIORTEMPORAL_SUVR,Left-inferiortemporal,Abeta-inferiortemporal,Abeta-Left-inferiortemporal,Abeta-Temporal,Abeta-Left-Temporal,1
CTX_LH_INSULA_SUVR,Left-insula,Abeta-insula,Abeta-Left-insula,Abeta-Insula,Abeta-Left-Insula,1
CTX_LH_ISTHMUSCINGULATE_SUVR,Left-isthmuscingulate,Abeta-isthmuscingulate,Abeta-Left-isthmuscingulate,Abeta-Cingulate,Abeta-Left-Cingulate,1
CTX_LH_LATERALOCCIPITAL_SUVR,Left-lateraloccipital,Abeta-lateraloccipital,Abeta-Left-lateraloccipital,Abeta-Occipital,Abeta-Left-Occipital,1
CTX_LH_LATERALORBITOFRONTAL_SUVR,Left-lateralorbitofrontal,Abeta-lateralorbitofrontal,Abeta-Left-lateralorbitofrontal,Abeta-Frontal,Abeta-Left-Frontal,1
CTX_LH_LINGUAL_SUVR,Left-lingual,Abeta-lingual,Abeta-Left-lingual,Abeta-Occipital,Abeta-Left-Occipital,1
CTX_LH_MEDIALORBITOFRONTAL_SUVR,Left-medialorbitofrontal,Abeta-medialorbitofrontal,Abeta-Left-medialorbitofrontal,Abeta-Frontal,Abeta-Left-Frontal,1
CTX_LH_MIDDLETEMPORAL_SUVR,Left-middletemporal,Abeta-middletemporal,Abeta-Left-middletemporal,Abeta-Temporal,Abeta-Left-Temporal,1
LEFT_PALLIDUM_SUVR,Left-Pallidum,Abeta-Pallidum,Abeta-Left-Pallidum,Abeta-Pallidum,Abeta-Left-Pallidum,1
CTX_LH_PARACENTRAL_SUVR,Left-paracentral,Abeta-paracentral,Abeta-Left-paracentral,Abeta-Frontal,Abeta-Left-Frontal,1
CTX_LH_PARAHIPPOCAMPAL_SUVR,Left-parahippocampal,Abeta-parahippocampal,Abeta-Left-parahippocampal,Abeta-Temporal,Abeta-Left-Temporal,1
CTX_LH_PARSOPERCULARIS_SUVR,Left-parsopercularis,Abeta-parsopercularis,Abeta-Left-parsopercularis,Abeta-Frontal,Abeta-Left-Frontal,1
CTX_LH_PARSORBITALIS_SUVR,Left-parsorbitalis,Abeta-parsorbitalis,Abeta-Left-parsorbitalis,Abeta-Frontal,Abeta-Left-Frontal,1
CTX_LH_PARSTRIANGULARIS_SUVR,Left-parstriangularis,Abeta-parstriangularis,Abeta-Left-parstriangularis,Abeta-Frontal,Abeta-Left-Frontal,1
CTX_LH_PERICALCARINE_SUVR,Left-pericalcarine,Abeta-pericalcarine,Abeta-Left-pericalcarine,Abeta-Occipital,Abeta-Left-Occipital,1
CTX_LH_POSTCENTRAL_SUVR,Left-postcentral,Abeta-postcentral,Abeta-Left-postcentral,Abeta-Parietal,Abeta-Left-Parietal,1
CTX_LH_POSTERIORCINGULATE_SUVR,Left-posteriorcingulate,Abeta-posteriorcingulate,Abeta-Left-posteriorcingulate,Abeta-Cingulate,Abeta-Left-Cingulate,1
CTX_LH_PRECENTRAL_SUVR,Left-precentral,Abeta-precentral,Abeta-Left-precentral,Abeta-Frontal,Abeta-Left-Frontal,1
CTX_LH_PRECUNEUS_SUVR,Left-precuneus,Abeta-precuneus,Abeta-Left-precuneus,Abeta-Parietal,Abeta-Left-Parietal,1
LEFT_PUTAMEN_SUVR,Left-Putamen,Abeta-Putamen,Abeta-Left-Putamen,Abeta-Putamen,Abeta-Left-Putamen,1
CTX_LH_ROSTRALANTERIORCINGULATE_SUVR,Left-rostralanteriorcingulate,Abeta-rostralanteriorcingulate,Abeta-Left-rostralanteriorcingulate,Abeta-Cingulate,Abeta-Left-Cingulate,1
